Latitude	Longitude	Prob (%)
		
25.0	-124.0	0.0
25.2	-124.0	0.0
25.4	-124.0	0.0
25.6	-124.0	0.0
25.8	-124.0	0.0
26.0	-124.0	0.0
26.2	-124.0	0.0
26.4	-124.0	0.0
26.6	-124.0	0.0
26.8	-124.0	0.0
27.0	-124.0	0.0
27.2	-124.0	0.0
27.4	-124.0	0.0
27.6	-124.0	0.0
27.8	-124.0	0.0
28.0	-124.0	0.0
28.2	-124.0	0.0
28.4	-124.0	0.0
28.6	-124.0	0.0
28.8	-124.0	0.0
29.0	-124.0	0.0
29.2	-124.0	0.0
29.4	-124.0	0.0
29.6	-124.0	0.0
29.8	-124.0	0.0
30.0	-124.0	0.0
30.2	-124.0	0.0
30.4	-124.0	0.0
30.6	-124.0	0.0
30.8	-124.0	0.0
31.0	-124.0	0.0
31.2	-124.0	0.0
31.4	-124.0	0.0
31.6	-124.0	0.0
31.8	-124.0	0.0
32.0	-124.0	0.0
32.2	-124.0	0.0
32.4	-124.0	0.0
32.6	-124.0	0.0
32.8	-124.0	0.0
33.0	-124.0	0.0
33.2	-124.0	0.0
33.4	-124.0	0.0
33.6	-124.0	2.76
33.8	-124.0	0.01
34.0	-124.0	0.0
34.2	-124.0	0.0
34.4	-124.0	0.0
34.6	-124.0	0.0
34.8	-124.0	0.0
35.0	-124.0	0.0
35.2	-124.0	1.56
35.4	-124.0	0.01
35.6	-124.0	0.0
35.8	-124.0	0.0
25.0	-123.8	0.0
25.2	-123.8	0.0
25.4	-123.8	0.0
25.6	-123.8	0.0
25.8	-123.8	0.0
26.0	-123.8	0.0
26.2	-123.8	0.0
26.4	-123.8	0.0
26.6	-123.8	0.0
26.8	-123.8	0.0
27.0	-123.8	0.0
27.2	-123.8	0.0
27.4	-123.8	0.0
27.6	-123.8	0.0
27.8	-123.8	0.0
28.0	-123.8	0.0
28.2	-123.8	0.0
28.4	-123.8	0.0
28.6	-123.8	0.0
28.8	-123.8	0.0
29.0	-123.8	0.0
29.2	-123.8	0.0
29.4	-123.8	0.0
29.6	-123.8	0.0
29.8	-123.8	0.0
30.0	-123.8	0.0
30.2	-123.8	0.0
30.4	-123.8	0.0
30.6	-123.8	0.0
30.8	-123.8	0.0
31.0	-123.8	0.0
31.2	-123.8	0.0
31.4	-123.8	0.0
31.6	-123.8	0.0
31.8	-123.8	0.0
32.0	-123.8	0.0
32.2	-123.8	0.0
32.4	-123.8	0.0
32.6	-123.8	0.0
32.8	-123.8	0.0
33.0	-123.8	0.0
33.2	-123.8	0.0
33.4	-123.8	0.0
33.6	-123.8	3.05
33.8	-123.8	0.77
34.0	-123.8	0.0
34.2	-123.8	0.0
34.4	-123.8	0.0
34.6	-123.8	0.0
34.8	-123.8	0.0
35.0	-123.8	0.0
35.2	-123.8	3.28
35.4	-123.8	0.84
35.6	-123.8	0.0
35.8	-123.8	0.0
25.0	-123.6	0.0
25.2	-123.6	0.0
25.4	-123.6	0.0
25.6	-123.6	0.0
25.8	-123.6	0.0
26.0	-123.6	0.0
26.2	-123.6	0.0
26.4	-123.6	0.0
26.6	-123.6	0.0
26.8	-123.6	0.0
27.0	-123.6	0.0
27.2	-123.6	0.0
27.4	-123.6	0.0
27.6	-123.6	0.0
27.8	-123.6	0.0
28.0	-123.6	0.0
28.2	-123.6	0.0
28.4	-123.6	0.0
28.6	-123.6	0.0
28.8	-123.6	0.0
29.0	-123.6	0.0
29.2	-123.6	0.0
29.4	-123.6	0.0
29.6	-123.6	0.0
29.8	-123.6	0.0
30.0	-123.6	0.0
30.2	-123.6	0.0
30.4	-123.6	0.0
30.6	-123.6	0.0
30.8	-123.6	0.0
31.0	-123.6	0.0
31.2	-123.6	0.0
31.4	-123.6	0.0
31.6	-123.6	0.0
31.8	-123.6	0.0
32.0	-123.6	0.0
32.2	-123.6	0.0
32.4	-123.6	0.0
32.6	-123.6	0.0
32.8	-123.6	0.0
33.0	-123.6	0.0
33.2	-123.6	0.0
33.4	-123.6	0.0
33.6	-123.6	0.0
33.8	-123.6	0.0
34.0	-123.6	0.0
34.2	-123.6	0.0
34.4	-123.6	0.0
34.6	-123.6	0.0
34.8	-123.6	0.0
35.0	-123.6	0.0
35.2	-123.6	0.0
35.4	-123.6	0.0
35.6	-123.6	0.0
35.8	-123.6	0.0
25.0	-123.4	0.0
25.2	-123.4	0.0
25.4	-123.4	0.0
25.6	-123.4	0.0
25.8	-123.4	0.0
26.0	-123.4	0.0
26.2	-123.4	0.0
26.4	-123.4	0.0
26.6	-123.4	0.0
26.8	-123.4	0.0
27.0	-123.4	0.0
27.2	-123.4	0.0
27.4	-123.4	0.0
27.6	-123.4	0.0
27.8	-123.4	0.0
28.0	-123.4	0.0
28.2	-123.4	0.0
28.4	-123.4	0.0
28.6	-123.4	0.0
28.8	-123.4	0.0
29.0	-123.4	0.0
29.2	-123.4	0.0
29.4	-123.4	0.0
29.6	-123.4	0.0
29.8	-123.4	0.0
30.0	-123.4	0.0
30.2	-123.4	0.0
30.4	-123.4	0.0
30.6	-123.4	0.0
30.8	-123.4	0.0
31.0	-123.4	0.0
31.2	-123.4	0.0
31.4	-123.4	0.0
31.6	-123.4	0.0
31.8	-123.4	0.0
32.0	-123.4	0.0
32.2	-123.4	0.0
32.4	-123.4	0.0
32.6	-123.4	0.0
32.8	-123.4	0.0
33.0	-123.4	0.0
33.2	-123.4	0.0
33.4	-123.4	0.0
33.6	-123.4	0.0
33.8	-123.4	0.0
34.0	-123.4	0.0
34.2	-123.4	0.0
34.4	-123.4	0.0
34.6	-123.4	0.0
34.8	-123.4	0.0
35.0	-123.4	0.0
35.2	-123.4	0.0
35.4	-123.4	0.0
35.6	-123.4	0.0
35.8	-123.4	0.0
25.0	-123.2	0.0
25.2	-123.2	0.0
25.4	-123.2	0.0
25.6	-123.2	0.0
25.8	-123.2	0.0
26.0	-123.2	0.0
26.2	-123.2	0.0
26.4	-123.2	0.0
26.6	-123.2	0.0
26.8	-123.2	0.0
27.0	-123.2	0.0
27.2	-123.2	0.0
27.4	-123.2	0.0
27.6	-123.2	0.0
27.8	-123.2	0.0
28.0	-123.2	0.0
28.2	-123.2	0.0
28.4	-123.2	0.0
28.6	-123.2	0.0
28.8	-123.2	0.0
29.0	-123.2	0.0
29.2	-123.2	0.0
29.4	-123.2	0.0
29.6	-123.2	0.0
29.8	-123.2	0.0
30.0	-123.2	0.0
30.2	-123.2	0.0
30.4	-123.2	0.0
30.6	-123.2	0.0
30.8	-123.2	0.0
31.0	-123.2	0.0
31.2	-123.2	0.0
31.4	-123.2	0.0
31.6	-123.2	0.0
31.8	-123.2	0.0
32.0	-123.2	0.0
32.2	-123.2	0.0
32.4	-123.2	0.0
32.6	-123.2	0.0
32.8	-123.2	0.0
33.0	-123.2	0.0
33.2	-123.2	0.0
33.4	-123.2	0.0
