California,32.0,45.0,-130.0,-114.0
Japan,25.0,50.0,125.0,155.0
Chile,-57.0,-18.0,-83.0,-56.0
Indonesia,-12.25,6.25,90.0,115.0
Taiwan,19.0,27.0,117.0,124.0
Philippines,5.0,20.0,116.0,129.0
Himalayas,18.0,44.0,62.0,100.0
Mexico,10.0,30.0,-117.0,-88.0
Caribbean,5.0,23.0,-88.0,-60.0
Peru,-24.25,6.25,-88.0,-65.0
Greece,30.0,44.0,16.0,39.0
Iran,30.0,44.0,39.0,63.0
NewGuinea,-15.75,1.75,137.0,160.0
NewZealand,-49.0,-34.0,162.0,175.0
Vancouver,40.0,60.0,-144.0,-120.0
Alaska,51.0,63.0,-157.0,-135.0
Aleutians,47.0,57.0,169.25,-160.25
Kuriles,42.0,56.0,154.0,170.0
World,-81.0,81.0,-179.,179.
WesternUS,29.,50.,-130.,-102.0
